run_id,subject,session,band,fmin,fmax,channel_set,n_channels,win_sec,step_sec,time_center_s,acc_mean,n_trials,n_splits,elapsed_s,pipeline
13,1,7,delta,0.5,4.0,motor_17,17,0.5,0.2,2.07421875,0.4072289156626506,415,5,19.06633597000001,riem+svm_rbf_time_resolved
13,1,7,delta,0.5,4.0,motor_17,17,0.5,0.2,2.27734375,0.4337349397590362,415,5,19.06633597000001,riem+svm_rbf_time_resolved
13,1,7,delta,0.5,4.0,motor_17,17,0.5,0.2,2.48046875,0.4698795180722891,415,5,19.06633597000001,riem+svm_rbf_time_resolved
14,1,7,delta,0.5,4.0,motor_17,17,1.0,0.2,0.49609375,0.6048192771084338,415,5,14.225409046999971,riem+svm_rbf_time_resolved
14,1,7,delta,0.5,4.0,motor_17,17,1.0,0.2,0.69921875,0.5710843373493976,415,5,14.225409046999971,riem+svm_rbf_time_resolved
14,1,7,delta,0.5,4.0,motor_17,17,1.0,0.2,0.90234375,0.5325301204819277,415,5,14.225409046999971,riem+svm_rbf_time_resolved
14,1,7,delta,0.5,4.0,motor_17,17,1.0,0.2,1.10546875,0.3951807228915663,415,5,14.225409046999971,riem+svm_rbf_time_resolved
14,1,7,delta,0.5,4.0,motor_17,17,1.0,0.2,1.30859375,0.3566265060240964,415,5,14.225409046999971,riem+svm_rbf_time_resolved
14,1,7,delta,0.5,4.0,motor_17,17,1.0,0.2,1.51171875,0.3518072289156627,415,5,14.225409046999971,riem+svm_rbf_time_resolved
14,1,7,delta,0.5,4.0,motor_17,17,1.0,0.2,1.71484375,0.4192771084337349,415,5,14.225409046999971,riem+svm_rbf_time_resolved
14,1,7,delta,0.5,4.0,motor_17,17,1.0,0.2,1.91796875,0.4481927710843374,415,5,14.225409046999971,riem+svm_rbf_time_resolved
14,1,7,delta,0.5,4.0,motor_17,17,1.0,0.2,2.12109375,0.5084337349397591,415,5,14.225409046999971,riem+svm_rbf_time_resolved
15,1,7,delta,0.5,4.0,motor_17,17,1.5,0.2,0.74609375,0.5951807228915663,415,5,11.042239012000039,riem+svm_rbf_time_resolved
15,1,7,delta,0.5,4.0,motor_17,17,1.5,0.2,0.94921875,0.5734939759036145,415,5,11.042239012000039,riem+svm_rbf_time_resolved
15,1,7,delta,0.5,4.0,motor_17,17,1.5,0.2,1.15234375,0.5493975903614458,415,5,11.042239012000039,riem+svm_rbf_time_resolved
15,1,7,delta,0.5,4.0,motor_17,17,1.5,0.2,1.35546875,0.45060240963855425,415,5,11.042239012000039,riem+svm_rbf_time_resolved
